AAPL (Apple Inc.),385.44,-5.46
Jul 16 2020 @ 13:52 ET,Bid,385.41,Ask,385.44,Size,1x1,Vol,9594254
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,AAPL200717C00115000,268.6,0,269.9,271.1,0,0.02,1,0,13,115.000,AAPL200717P00115000,0.01,0,0,0.01,0,6.2279,-0.0001,0,1324
07/17/2020,AAPL200717C00120000,263.65,0,264.85,266.1,0,0.02,1,0,6,120.000,AAPL200717P00120000,0.03,0,0,0.01,0,6.001,-0.0001,0,350
07/17/2020,AAPL200717C00125000,253.9,0,259.9,261.1,0,0.02,1,0,46,125.000,AAPL200717P00125000,0.04,0,0,0.01,0,6.001,-0.0002,0,593
07/17/2020,AAPL200717C00130000,0,0,254.9,256.1,0,6.7715,0.999,0,0,130.000,AAPL200717P00130000,0.01,0,0,0.01,0,5.501,-0.0001,0,227
07/17/2020,AAPL200717C00135000,252.1,0,249.95,251.1,0,6.5416,0.999,0,3777,135.000,AAPL200717P00135000,0.01,0,0,0.01,0,5.501,-0.0002,0,738
07/17/2020,AAPL200717C00140000,240.97,0,244.9,246.1,0,0.02,1,0,5,140.000,AAPL200717P00140000,0.01,0,0,0.01,0,5.251,-0.0001,0,1304
07/17/2020,AAPL200717C00145000,234.8,0,239.9,241.1,0,0.02,1,0,7,145.000,AAPL200717P00145000,0.01,0,0,0.01,0,5.001,-0.0001,0,727
07/17/2020,AAPL200717C00150000,231.6,0,234.9,236.1,0,6.2451,0.9981,0,46,150.000,AAPL200717P00150000,0.01,0,0,0.01,0,5.001,-0.0002,0,1122
07/17/2020,AAPL200717C00155000,227.95,0,229.85,231.1,0,5.2601,0.9995,0,15,155.000,AAPL200717P00155000,0.01,0,0,0.01,0,4.751,-0.0002,0,692
07/17/2020,AAPL200717C00160000,228.6,0,224.95,226.1,0,0.02,1,0.0001,394,160.000,AAPL200717P00160000,0.02,0,0,0.01,0,4.6219,-0.0002,0,992
07/17/2020,AAPL200717C00165000,220.5,0,219.95,221.05,0,0.02,1,0,114,165.000,AAPL200717P00165000,0.01,0,0,0.01,0,4.4758,-0.0002,0,2097
07/17/2020,AAPL200717C00170000,123.25,0,214.85,216.1,0,0.02,1,0,0,170.000,AAPL200717P00170000,0.01,0,0,0.01,0,4.2732,-0.0002,0,1024
07/17/2020,AAPL200717C00175000,209.25,0,209.9,211.1,0,5.2434,0.9979,0.0001,16,175.000,AAPL200717P00175000,0.01,0,0,0.01,0,4.001,-0.0001,0,1039
07/17/2020,AAPL200717C00180000,199.8,0,204.9,206.1,0,0.02,1,0,6,180.000,AAPL200717P00180000,0.01,0,0,0.01,0,4.001,-0.0002,0,1765
07/17/2020,AAPL200717C00185000,197.83,0,199.9,201.1,0,4.3898,0.9992,0,12,185.000,AAPL200717P00185000,0.01,0,0,0.01,0,4.001,-0.0003,0,1347
