AMZN (Amazon.com, Inc.),3014.468,5.598
Jul 16 2020 @ 13:53 ET,Bid,3012.40015,Ask,3017,Size,1x1,Vol,2365434
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,AMZN200717C00860000,2243.9,0,2152.05,2155.75,0,22.6274,0.9478,0,1,860.000,AMZN200717P00860000,0.01,0,0,0.03,1,6.1571,-0.0001,0,301
07/17/2020,AMZN200717C00880000,2165,0,2129.9,2137.4,0,0.02,1,0,1,880.000,AMZN200717P00880000,0.01,0,0,0.03,0,6.001,-0.0001,0,30
07/17/2020,AMZN200717C00900000,0,0,2112.85,2115.9,0,21.282,0.9465,0,0,900.000,AMZN200717P00900000,0.02,0,0,0.05,0,6.0933,-0.0001,0,324
07/17/2020,AMZN200717C00920000,1818.7,0,2089.45,2095.75,0,20.6568,0.9461,0,0,920.000,AMZN200717P00920000,0.39,0,0,0.05,0,6.001,-0.0001,0,15
07/17/2020,AMZN200717C00940000,2126.8,0,2071.4,2077.35,0,0.02,1,0,1,940.000,AMZN200717P00940000,0.05,0,0,0.05,0,5.876,-0.0001,0,18
07/17/2020,AMZN200717C00960000,0,0,2049.2,2056,0,0.02,1,0,0,960.000,AMZN200717P00960000,0.05,0,0,0.05,0,5.8119,-0.0001,0,17
07/17/2020,AMZN200717C00980000,2040.15,0,2030.55,2036.4,0,0.02,1,0,0,980.000,AMZN200717P00980000,0.05,0,0,0.05,0,5.6885,-0.0001,0,21
07/17/2020,AMZN200717C01000000,1473.15,0,2010.45,2015.35,0,0.02,1,0,1,1000.000,AMZN200717P01000000,0.03,0,0,0.01,0,4.954,0,0,377
07/17/2020,AMZN200717C01020000,1942.65,-60.2,1988.45,1996.6,1,0.02,1,0,5,1020.000,AMZN200717P01020000,0.04,0,0,0.02,0,5.251,-0.0001,0,152
07/17/2020,AMZN200717C01040000,2009.7,0,1969.1,1975.4,0,0.02,1,0,12,1040.000,AMZN200717P01040000,0.02,0,0,0.2,0,5.9679,-0.0004,0,138
07/17/2020,AMZN200717C01060000,0,0,1950.8,1956,0,16.6972,0.944,0,0,1060.000,AMZN200717P01060000,0.35,0,0,0.91,0,6.679,-0.0013,0,70
07/17/2020,AMZN200717C01080000,0,0,1929.95,1937.25,0,16.2568,0.9438,0,0,1080.000,AMZN200717P01080000,0.15,0,0,0.91,0,6.5655,-0.0013,0,88
07/17/2020,AMZN200717C01100000,0,0,1909.75,1916.3,0,7.4166,0.9961,0,0,1100.000,AMZN200717P01100000,0.06,0,0,0.06,0,5.1885,-0.0001,0,317
07/17/2020,AMZN200717C01120000,1274.55,0,1890.6,1896.25,0,0.02,1,0,1,1120.000,AMZN200717P01120000,0.15,0,0,0.91,0,6.3419,-0.0014,0,58
07/17/2020,AMZN200717C01140000,1922.75,0,1869.25,1875.35,0,14.8658,0.9441,0,3,1140.000,AMZN200717P01140000,0.05,0,0,0.05,0,4.9491,-0.0001,0,95
07/17/2020,AMZN200717C01160000,1909.85,0,1851.4,1857.35,0,14.4571,0.9443,0,1,1160.000,AMZN200717P01160000,0.03,0,0,0.1,0,5.1143,-0.0002,0,65
07/17/2020,AMZN200717C01180000,1256.55,0,1829.1,1836.5,0,14.0888,0.944,0,2,1180.000,AMZN200717P01180000,0.05,0,0,0.01,0,4.2051,0,0,104
07/17/2020,AMZN200717C01200000,1792.85,0,1810.95,1817.2,0,0.02,1,0,3,1200.000,AMZN200717P01200000,0.03,0,0,0.03,0,4.5341,-0.0001,0,317
07/17/2020,AMZN200717C01220000,0,0,1791.35,1795.95,0,0.02,1,0.0001,0,1220.000,AMZN200717P01220000,0.01,0,0,0.01,0,4.2092,0,0,77
07/17/2020,AMZN200717C01240000,1882,0,1770.95,1776.15,0,0.02,1,0.0001,2,1240.000,AMZN200717P01240000,6.2,0,0,0.91,0,5.7177,-0.0015,0,37
07/17/2020,AMZN200717C01260000,1483.5,0,1750.05,1755.95,0,0.02,1,0.0001,0,1260.000,AMZN200717P01260000,0.05,0,0,0.03,0,4.3176,-0.0001,0,101
07/17/2020,AMZN200717C01270000,1875.5,0,1742.75,1745.4,0,0.02,1,0,0,1270.000,AMZN200717P01270000,0,0,0,0.91,0,5.5716,-0.0016,0,0
