IWM (iShares Russell 2000 Index (ETF)),145.42,-1.61
Jul 16 2020 @ 13:52 ET,Bid,145.43,Ask,145.44,Size,5x21,Vol,13530506
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,IWM200717C00055000,83.29,0,90.23,90.63,0,0.02,1,0,1,55.000,IWM200717P00055000,0.01,0.005,0,0.01,10,5.501,-0.0004,0,8308
07/17/2020,IWM200717C00060000,79.9,0,85.23,85.64,0,5.5295,0.9988,0.0001,1,60.000,IWM200717P00060000,0.01,0,0,0.01,0,4.9014,-0.0003,0,2689
07/17/2020,IWM200717C00065000,0,0,80.23,80.64,0,4.8915,0.9991,0.0001,0,65.000,IWM200717P00065000,0.01,0,0,0.01,0,4.4702,-0.0004,0,2661
07/17/2020,IWM200717C00070000,61.11,0,75.23,75.64,0,0.05,1,0.0014,0,70.000,IWM200717P00070000,0.01,0,0,0.01,0,4.001,-0.0003,0,2775
07/17/2020,IWM200717C00075000,62,0,70.23,70.63,0,3.751,0.9995,0.0001,4,75.000,IWM200717P00075000,0.01,0,0,0.01,0,3.751,-0.0005,0.0001,4634
07/17/2020,IWM200717C00080000,66.85,0,65.23,65.63,0,3.751,0.9986,0.0002,0,80.000,IWM200717P00080000,0.01,0,0,0.01,0,3.501,-0.0007,0.0001,7847
07/17/2020,IWM200717C00085000,55.59,0,60.23,60.64,0,0.05,1,0.0019,10,85.000,IWM200717P00085000,0.01,0,0,0.01,0,3.001,-0.0005,0.0001,9255
07/17/2020,IWM200717C00087000,0,0,58.23,58.64,0,3.1134,0.9989,0.0001,0,87.000,IWM200717P00087000,0.04,0,0,0.01,0,2.868,-0.0005,0.0001,468
07/17/2020,IWM200717C00088000,0,0,57.23,57.64,0,0.05,1,0.002,0,88.000,IWM200717P00088000,0.07,0,0,0.01,0,2.8107,-0.0005,0.0001,855
07/17/2020,IWM200717C00089000,0,0,56.23,56.64,0,2.8007,0.9994,0.0001,0,89.000,IWM200717P00089000,0.02,0,0,0.01,0,2.751,-0.0005,0.0001,343
07/17/2020,IWM200717C00090000,45,0,55.23,55.64,0,0.05,1,0.002,7,90.000,IWM200717P00090000,0.01,0,0,0.01,0,2.7173,-0.0005,0.0001,3606
07/17/2020,IWM200717C00091000,0,0,54.23,54.63,0,0.05,1,0.0001,0,91.000,IWM200717P00091000,0.01,0,0,0.01,0,2.6503,-0.0005,0.0001,577
07/17/2020,IWM200717C00092000,0,0,53.23,53.63,0,0.02,1,0.0002,0,92.000,IWM200717P00092000,0.01,0,0,0.01,1,2.615,-0.0006,0.0001,992
07/17/2020,IWM200717C00093000,0,0,52.23,52.64,0,2.534,0.9994,0.0001,0,93.000,IWM200717P00093000,0.02,0,0,0.01,0,2.5164,-0.0005,0.0001,331
07/17/2020,IWM200717C00094000,0,0,51.23,51.63,0,0.05,1,0.0001,0,94.000,IWM200717P00094000,0.03,0.02,0,0.01,1,2.4691,-0.0006,0.0001,2495
07/17/2020,IWM200717C00095000,43.57,0,50.23,50.63,0,2.493,0.9992,0.0001,1,95.000,IWM200717P00095000,0.01,0.005,0,0.01,1,2.4256,-0.0006,0.0001,6530
07/17/2020,IWM200717C00096000,0,0,49.23,49.63,0,0.05,1,0.0002,0,96.000,IWM200717P00096000,0.02,0,0,0.01,0,2.3796,-0.0006,0.0001,1072
07/17/2020,IWM200717C00097000,26.84,0,48.23,48.63,0,0.05,1,0.0001,0,97.000,IWM200717P00097000,0.01,0,0,0.01,0,2.3243,-0.0007,0.0001,1969
07/17/2020,IWM200717C00098000,29.5,0,47.23,47.63,0,0.02,1,0.0003,0,98.000,IWM200717P00098000,0.01,0,0,0.01,4,2.2917,-0.0008,0.0001,3829
07/17/2020,IWM200717C00099000,43.9,0,46.23,46.63,0,0.05,1,0.0025,1,99.000,IWM200717P00099000,0.01,0.005,0,0.01,1,2.2543,-0.0008,0.0002,2145
07/17/2020,IWM200717C00100000,47.5,0,45.23,45.63,0,0.05,1,0.0002,159,100.000,IWM200717P00100000,0.01,0.005,0,0.01,1,2.1582,-0.0007,0.0001,63174
07/17/2020,IWM200717C00101000,49.81,0,44.23,44.63,0,0.02,1,0.0026,18,101.000,IWM200717P00101000,0.01,0,0,0.01,0,2.1583,-0.0009,0.0002,1960
07/17/2020,IWM200717C00102000,33.66,0,43.23,43.62,0,0.02,1,0.0001,3,102.000,IWM200717P00102000,0.01,0,0,0.01,0,2.1567,-0.0012,0.0002,2124
07/17/2020,IWM200717C00103000,34.66,0,42.23,42.63,0,0.05,1,0.0028,0,103.000,IWM200717P00103000,0.01,0,0,0.01,4,2.001,-0.0008,0.0002,5738
