MSFT (Microsoft Corporation),204.01,-4.03
Jul 16 2020 @ 13:53 ET,Bid,204.03,Ask,204.04,Size,1x3,Vol,10527616
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,MSFT200717C00080000,133.2,0,123.85,124.85,0,8.0768,0.9897,0.0003,7,80.000,MSFT200717P00080000,0.03,0,0,0.01,0,5.001,-0.0002,0,1073
07/17/2020,MSFT200717C00085000,122.55,0,118.75,119.9,0,7.5138,0.9896,0.0003,10,85.000,MSFT200717P00085000,0.01,0,0,0.01,0,4.751,-0.0003,0,426
07/17/2020,MSFT200717C00090000,103.56,0,113.75,114.3,0,5.5036,0.9977,0.0001,3,90.000,MSFT200717P00090000,0.01,0,0,0.01,0,4.501,-0.0003,0,1250
07/17/2020,MSFT200717C00095000,90,0,108.15,109.25,0,0.02,1,0.0002,0,95.000,MSFT200717P00095000,0.01,0,0,0.01,0,4.0933,-0.0002,0,1117
07/17/2020,MSFT200717C00100000,87,0,103.75,104.25,0,4.462,0.9987,0.0001,40,100.000,MSFT200717P00100000,0.01,0,0,0.01,1,4.001,-0.0004,0,934
07/17/2020,MSFT200717C00105000,101.5,0,98.75,99.3,0,4.5227,0.9973,0.0002,1,105.000,MSFT200717P00105000,0.01,0,0,0.01,0,3.751,-0.0005,0,514
07/17/2020,MSFT200717C00110000,105.6,0,93.85,94.2,0,4.2048,0.9972,0.0002,7,110.000,MSFT200717P00110000,0.01,0,0,0.01,0,3.501,-0.0005,0,1104
07/17/2020,MSFT200717C00115000,89.6,-2.85,88.85,89.8,3,5.1158,0.9848,0.0007,24,115.000,MSFT200717P00115000,0.01,0,0,0.01,0,3.251,-0.0005,0.0001,1889
07/17/2020,MSFT200717C00120000,95.7,0,83.85,84.3,0,4.001,0.9939,0.0004,30,120.000,MSFT200717P00120000,0.03,0,0,0.01,0,3.001,-0.0005,0.0001,1265
07/17/2020,MSFT200717C00125000,85.72,0,77.15,79.25,0,0.02,1,0.0001,8,125.000,MSFT200717P00125000,0.02,0,0,0.01,0,2.751,-0.0005,0.0001,3932
