NFLX (Netflix Inc),534.57,11.31
Jul 16 2020 @ 13:52 ET,Bid,533.81,Ask,534.75,Size,1x1,Vol,6702442
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,NFLX200717C00205000,304.6,-12.45,327.15,330.5,3,0.02,1,0.0001,28,205.000,NFLX200717P00205000,0.11,0,0,0.65,0,7.1311,-0.0044,0.0001,26
07/17/2020,NFLX200717C00210000,323.2,11.25,322.5,325.55,3,0.02,1,0.0001,12,210.000,NFLX200717P00210000,0.19,0,0,0.18,0,6.0711,-0.0016,0,71
07/17/2020,NFLX200717C00215000,297.5,-9.75,317,320.5,2,0.02,1,0.0001,25,215.000,NFLX200717P00215000,0.16,0,0,0.41,0,6.4395,-0.0032,0.0001,15
07/17/2020,NFLX200717C00220000,299.35,-2.875,312.25,315.5,5,0.02,1,0.0001,8,220.000,NFLX200717P00220000,0.04,0.015,0,0.05,1,5.1199,-0.0005,0,80
07/17/2020,NFLX200717C00225000,301.05,3.55,307.1,310.5,2,0.02,1,0.0001,2,225.000,NFLX200717P00225000,0.16,0,0,0.79,0,6.6361,-0.0056,0.0001,25
07/17/2020,NFLX200717C00230000,287,-5.275,302.3,305.6,5,0.02,1,0.0001,4,230.000,NFLX200717P00230000,0.03,0.005,0,0.05,1,4.9016,-0.0006,0,51
07/17/2020,NFLX200717C00235000,280.1,-6.85,297,300.5,4,0.02,1,0.0001,0,235.000,NFLX200717P00235000,1.58,0,0,2.87,0,7.614,-0.0155,0.0002,5
07/17/2020,NFLX200717C00240000,276.7,0,291.95,295.55,0,0.02,1,0.0001,7,240.000,NFLX200717P00240000,0.01,0,0,2.97,0,7.4789,-0.0162,0.0002,14
07/17/2020,NFLX200717C00245000,270,0,287,290.55,0,0.02,1,0.0001,32,245.000,NFLX200717P00245000,0.05,0,0,2.64,0,7.165,-0.0153,0.0002,0
07/17/2020,NFLX200717C00250000,269,0,281.95,285.55,0,0.02,1,0.0001,13,250.000,NFLX200717P00250000,0.05,-0.07,0,0.05,1,4.4114,-0.0006,0,153
07/17/2020,NFLX200717C00255000,266.6,-0.575,277,280.5,2,0.02,1,0.0001,11,255.000,NFLX200717P00255000,0.48,0,0,2.75,0,6.8743,-0.0165,0.0002,1
07/17/2020,NFLX200717C00260000,251.55,-10.625,271.95,275.6,1,0.02,1,0.0001,4,260.000,NFLX200717P00260000,0.37,0,0,2.2,0,6.4763,-0.0144,0.0002,8
07/17/2020,NFLX200717C00265000,250,-7.725,266.95,270.5,4,0.02,1,0.0002,5,265.000,NFLX200717P00265000,0.08,0,0,2.86,0,6.5985,-0.0178,0.0002,4
07/17/2020,NFLX200717C00270000,263.65,10.95,261.95,265.55,2,0.02,1,0.0001,39,270.000,NFLX200717P00270000,0.01,0,0,1.87,0,6.0167,-0.0134,0.0002,30
07/17/2020,NFLX200717C00275000,252.4,5.2,257,260.45,2,0.02,1,0.0001,5,275.000,NFLX200717P00275000,0.02,0,0,0.05,0,3.9143,-0.0008,0,157
07/17/2020,NFLX200717C00280000,241.3,0,251.95,255.6,0,0.02,1,0.0002,2,280.000,NFLX200717P00280000,0.02,0,0.01,0.1,0,4.0912,-0.0015,0,273
07/17/2020,NFLX200717C00285000,235.95,0,246.95,250.65,0,0.02,1,0.0002,0,285.000,NFLX200717P00285000,0.04,0,0,0.1,0,3.9385,-0.0014,0,29
07/17/2020,NFLX200717C00290000,229.9,-2.425,241.95,245.4,2,0.02,1,0,24,290.000,NFLX200717P00290000,0.04,-0.065,0,0.11,1,3.876,-0.0016,0,69
07/17/2020,NFLX200717C00295000,218.95,-8.1,236.95,240.55,6,0.02,1,0.0002,5,295.000,NFLX200717P00295000,0.03,0,0,0.04,12,3.4385,-0.0006,0,32
07/17/2020,NFLX200717C00300000,207.7,-14.5,231.95,235.6,2,0.02,1,0.0002,59,300.000,NFLX200717P00300000,0.05,0.025,0,0.21,1,3.9235,-0.0028,0.0001,448
07/17/2020,NFLX200717C00305000,206.55,-11.375,226.95,230.65,2,0.02,1,0.0002,24,305.000,NFLX200717P00305000,0.04,0,0,0.05,0,3.3551,-0.0009,0,268
07/17/2020,NFLX200717C00310000,199.45,-12.9,221.95,225.55,6,0.02,1,0.0001,103,310.000,NFLX200717P00310000,0.04,0.015,0,0.04,1,3.1762,-0.0008,0,110
07/17/2020,NFLX200717C00315000,200.95,-6.35,216.95,220.65,3,0.02,1,0.0003,13,315.000,NFLX200717P00315000,0.04,0.01,0,0.04,1,3.1041,-0.0008,0,97
07/17/2020,NFLX200717C00320000,193.3,-9.1,211.95,215.55,4,0.02,1,0.0002,118,320.000,NFLX200717P00320000,0.01,-0.045,0,0.05,2,3.0434,-0.0009,0,181
