^SPX (Standard & Poors 500 Index),3211.29,-15.27
Jul 16 2020 @ 13:50 ET,Bid,3210.64,Ask,3211.86,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,SPX200717C00100000,2965.1,0,3108.8,3112.1,0,0,0.9999,0,66,100.000,SPX200717P00100000,0.05,0,0,0.05,0,20.5162,0,0,787
07/17/2020,SPXW200717C00100000,3044.59,0,3109.4,3111.4,0,0,0.9999,0,6,100.000,SPXW200717P00100000,0,0,0,0.05,0,17.6956,0,0,0
07/17/2020,SPX200717C00200000,0,0,3008.9,3012,0,0,0.9999,0,0,200.000,SPX200717P00200000,0.05,0,0,0.05,0,16.2787,0,0,394
07/17/2020,SPXW200717C00200000,2944.24,0,3009.4,3011.3,0,0,0.9995,0,3,200.000,SPXW200717P00200000,0.05,0,0,0.05,0,14.001,0,0,225
07/17/2020,SPX200717C00300000,2782.46,0,2908.8,2912,0,0,0.9999,0,16,300.000,SPX200717P00300000,0.05,0,0,0.05,0,13.8465,0,0,313
07/17/2020,SPXW200717C00300000,0,0,2909.4,2911.3,0,0,0.9995,0,0,300.000,SPXW200717P00300000,0.05,0,0,0.05,0,11.876,0,0,65
07/17/2020,SPX200717C00400000,2738.8,0,2808.9,2812,0,0,0.9998,0,15,400.000,SPX200717P00400000,0.1,0,0,0.05,0,12.1157,0,0,447
07/17/2020,SPXW200717C00400000,2658.54,0,2809.4,2811.3,0,0,1,0,4,400.000,SPXW200717P00400000,0,0,0,0.05,0,10.4033,0,0,187
07/17/2020,SPX200717C00500000,2666.4,0,2708.8,2711.9,0,0,0.9999,0,1,500.000,SPX200717P00500000,0.05,0,0,0.05,0,10.7719,-0.0001,0,1068
07/17/2020,SPXW200717C00500000,0,0,2709.4,2711.4,0,0,0.9994,0,2,500.000,SPXW200717P00500000,0.15,0,0,0.05,0,9.3274,-0.0001,0,431
07/17/2020,SPX200717C00600000,2505.27,0,2608.8,2611.9,0,0,0.9999,0,16,600.000,SPX200717P00600000,0.05,0,0,0.05,0,9.751,-0.0001,0,1177
07/17/2020,SPXW200717C00600000,0,0,2609.4,2611.3,0,0,0.9995,0,0,600.000,SPXW200717P00600000,0.25,0,0,0.05,0,8.3857,-0.0001,0,649
07/17/2020,SPX200717C00700000,2382.77,0,2508.9,2512,0,0,0.9998,0,2,700.000,SPX200717P00700000,0.05,0,0,0.05,0,8.8383,-0.0001,0,2709
07/17/2020,SPXW200717C00700000,0,0,2509.4,2511.4,0,0,0.9989,0,1,700.000,SPXW200717P00700000,0.3,0,0,0.05,0,7.6926,-0.0001,0,488
07/17/2020,SPX200717C00800000,2290.43,0,2408.9,2412,0,0,0.9998,0,43,800.000,SPX200717P00800000,0.05,0,0,0.05,0,8.1247,-0.0001,0,13165
07/17/2020,SPXW200717C00800000,0,0,2409.4,2411.3,0,0,1,0,1,800.000,SPXW200717P00800000,0.05,0,0,0.05,0,6.9489,-0.0001,0,445
07/17/2020,SPX200717C00900000,0,0,2308.9,2312,0,0,0.9998,0,1,900.000,SPX200717P00900000,0.1,0,0,0.05,0,7.4385,-0.0001,0,19711
07/17/2020,SPXW200717C00900000,0,0,2309.4,2311.4,0,0,0.9993,0,0,900.000,SPXW200717P00900000,0.05,0,0,0.05,0,6.4133,-0.0001,0,1152
07/17/2020,SPX200717C01000000,2152.71,0,2208.8,2211.9,0,0,0.9998,0,21731,1000.000,SPX200717P01000000,0.03,0,0,0.05,0,6.8236,-0.0001,0,28329
07/17/2020,SPXW200717C01000000,0,0,2209.4,2211.4,0,0,0.998,0,0,1000.000,SPXW200717P01000000,0.05,0.025,0,0.05,1,5.876,-0.0001,0,804
07/17/2020,SPX200717C01100000,2074.6,0,2108.8,2111.9,0,0,0.9998,0,26,1100.000,SPX200717P01100000,0.05,0,0,0.05,0,6.2911,-0.0001,0,6014
07/17/2020,SPXW200717C01100000,0,0,2109.4,2111.3,0,0,0.9987,0,1,1100.000,SPXW200717P01100000,0.05,0,0,0.05,0,5.4203,-0.0001,0,1279
07/17/2020,SPX200717C01200000,2020.73,0,2008.8,2012,0,0,0.9996,0,0,1200.000,SPX200717P01200000,0.05,0,0,0.05,0,5.809,-0.0001,0,12370
07/17/2020,SPXW200717C01200000,0,0,2009.4,2011.3,0,0,0.9986,0,0,1200.000,SPXW200717P01200000,0.05,0,0,0.05,0,4.9647,-0.0001,0,534
07/17/2020,SPX200717C01225000,1995.71,0,1983.8,1987,0,0,0.9998,0,1,1225.000,SPX200717P01225000,0.05,0,0,0.05,0,5.6867,-0.0001,0,4680
07/17/2020,SPXW200717C01225000,0,0,1984.4,1986.3,0,0,1,0,0,1225.000,SPXW200717P01225000,0.05,0,0,0.05,0,4.871,-0.0001,0,249
07/17/2020,SPX200717C01250000,0,0,1958.9,1962,0,0,0.9998,0,20,1250.000,SPX200717P01250000,0.05,0,0,0.05,0,5.5671,-0.0001,0,3270
07/17/2020,SPXW200717C01250000,0,0,1959.4,1961.3,0,0,1,0,0,1250.000,SPXW200717P01250000,0.05,0,0,0.05,0,4.7813,-0.0001,0,280
07/17/2020,SPX200717C01275000,0,0,1933.9,1937,0,0,0.9998,0,65,1275.000,SPX200717P01275000,0.1,0,0,0.05,0,5.4385,-0.0001,0,1894
07/17/2020,SPXW200717C01275000,0,0,1934.4,1936.3,0,0,1,0,0,1275.000,SPXW200717P01275000,0.15,0,0,0.05,0,4.6902,-0.0001,0,357
07/17/2020,SPX200717C01300000,0,0,1908.9,1912,0,0,0.9998,0,67,1300.000,SPX200717P01300000,0.05,0,0,0.05,0,5.3594,-0.0001,0,4038
07/17/2020,SPXW200717C01300000,1472.35,0,1909.4,1911.3,0,0,1,0,0,1300.000,SPXW200717P01300000,0.05,0,0,0.05,0,4.5704,-0.0001,0,363
