TSLA (Tesla Inc),1514.225,-31.785
Jul 16 2020 @ 13:53 ET,Bid,1513.59,Ask,1514.75989,Size,1x1,Vol,5607562
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,TSLA200717C00010000,1513.33,0,1497.45,1509.65,0,0.02,0,0,9,10.000,TSLA200717P00010000,0.01,0.005,0,0.01,100,24.7632,0,0,7116
07/17/2020,TSLA200717C00020000,1692.85,0,1487.45,1499.65,0,0.02,1,0,26,20.000,TSLA200717P00020000,0.01,0,0,0.01,0,20.5388,0,0,1814
07/17/2020,TSLA200717C00030000,1650.05,0,1477.45,1489.65,0,0.02,1,0,30,30.000,TSLA200717P00030000,0.01,0,0,0.01,0,18.4343,0,0,816
07/17/2020,TSLA200717C00040000,1698.6,0,1467.45,1479.65,0,27.6255,0.9992,0,22,40.000,TSLA200717P00040000,0.03,0,0,0.01,0,18.001,0,0,116
07/17/2020,TSLA200717C00050000,1683.95,0,1457.45,1469.65,0,25.6752,0.9991,0,59,50.000,TSLA200717P00050000,0.01,0,0,0.01,0,16.001,0,0,2626
07/17/2020,TSLA200717C00060000,1684.29,0,1447.45,1459.65,0,24.1254,0.999,0,15,60.000,TSLA200717P00060000,0.03,0,0,0.01,0,14.996,0,0,280
07/17/2020,TSLA200717C00070000,1453.83,0,1437.45,1449.65,0,22.8469,0.9989,0,9,70.000,TSLA200717P00070000,0.01,0,0,0.01,0,14.2577,0,0,116
07/17/2020,TSLA200717C00080000,1578.94,0,1427.45,1439.65,0,21.751,0.9988,0,14,80.000,TSLA200717P00080000,0.01,0,0,0.01,0,14.001,0,0,106
07/17/2020,TSLA200717C00090000,1476.6,0,1417.45,1429.65,0,20.8107,0.9988,0,11,90.000,TSLA200717P00090000,0.03,0,0,0.01,0,13.501,0,0,470
07/17/2020,TSLA200717C00100000,1376.9,-56.225,1407.45,1419.65,1,19.9697,0.9987,0,4,100.000,TSLA200717P00100000,0.01,0,0,0.01,0,12.8162,0,0,2680
07/17/2020,TSLA200717C00110000,1651.2,0,1397.45,1409.65,0,19.2165,0.9986,0,6,110.000,TSLA200717P00110000,0.01,0,0,0.01,0,12.1782,0,0,136
07/17/2020,TSLA200717C00120000,1537.8,0,1387.45,1399.65,0,18.5485,0.9986,0,14,120.000,TSLA200717P00120000,0.01,0,0,0.01,0,12.001,0,0,424
07/17/2020,TSLA200717C00130000,1609.75,0,1377.45,1389.65,0,17.928,0.9985,0,34,130.000,TSLA200717P00130000,0.01,0,0,0.01,0,11.501,0,0,319
07/17/2020,TSLA200717C00140000,1596.1,0,1367.45,1379.65,0,17.3556,0.9984,0,32,140.000,TSLA200717P00140000,0.01,0,0,0.01,0,11.001,0,0,341
07/17/2020,TSLA200717C00150000,1400.3,0,1357.45,1369.65,0,16.8338,0.9984,0,25,150.000,TSLA200717P00150000,0.03,0,0,0.01,0,10.6529,0,0,759
07/17/2020,TSLA200717C00160000,1419.8,0,1347.45,1359.65,0,16.3514,0.9983,0,8,160.000,TSLA200717P00160000,0.02,0,0,0.01,0,10.6475,0,0,423
07/17/2020,TSLA200717C00170000,1395,0,1337.45,1349.65,0,15.8938,0.9983,0,6,170.000,TSLA200717P00170000,0.05,0,0,0.01,0,10.1169,0,0,331
07/17/2020,TSLA200717C00180000,1385,0,1327.45,1339.65,0,15.4661,0.9982,0,2,180.000,TSLA200717P00180000,0.01,0,0,0.01,0,10.001,0,0,257
